Number of Processes: 1, Time Taken: 0 seconds
Number of Processes: 2, Time Taken: 0 seconds
Number of Processes: 4, Time Taken: 0 seconds
Number of Processes: 8, Time Taken: 0 seconds
Number of Processes: 16, Time Taken: 0 seconds
Number of Processes: 32, Time Taken: 0 seconds
Number of Processes: 64, Time Taken: 0.001 seconds
Number of Processes: 128, Time Taken: 0.002 seconds
Number of Processes: 256, Time Taken: 0.004 seconds
Number of Processes: 512, Time Taken: 0.007 seconds
Number of Processes: 1024, Time Taken: 0.015 seconds
Number of Processes: 2048, Time Taken: 0.032 seconds
Number of Processes: 4096, Time Taken: 0.061 seconds
Number of Processes: 8192, Time Taken: 0.137 seconds
Number of Processes: 16384, Time Taken: 0.311 seconds
Number of Processes: 32768, Time Taken: 0.528 seconds
Number of Processes: 65536, Time Taken: 1.094 seconds
Number of Processes: 131072, Time Taken: 2.363 seconds
Number of Processes: 262144, Time Taken: 4.802 seconds
Number of Processes: 524288, Time Taken: 8.542 seconds
